index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m,normalizedDistance
42,67.10,1.535,-4.443,63.551,-696.967,63.551,-0.92,2000.0,31.98,115.1,2.56,10.87,13.43,0.018822
43,68.64,1.536,-4.431,63.537,-695.431,63.537,-0.88,2000.0,32.03,115.3,2.55,10.88,13.43,0.019254
44,70.17,1.538,-4.420,63.523,-693.893,63.523,-0.92,2000.0,32.05,115.4,2.55,10.88,13.43,0.019683
45,71.71,1.540,-4.410,63.510,-692.353,63.510,-0.86,2000.0,32.10,115.6,2.55,10.88,13.43,0.020115
46,73.26,1.542,-4.400,63.498,-690.812,63.498,-0.76,2000.0,32.15,115.7,2.55,10.88,13.43,0.020550
47,74.80,1.544,-4.391,63.484,-689.267,63.484,-0.93,2000.0,32.18,115.9,2.55,10.88,13.43,0.020982
48,76.35,1.545,-4.383,63.469,-687.722,63.469,-0.95,2000.0,32.22,116.0,2.55,10.88,13.43,0.021417
49,77.89,1.548,-4.374,63.456,-686.175,63.456,-0.84,2000.0,32.26,116.1,2.55,10.88,13.43,0.021849
50,79.44,1.549,-4.367,63.446,-684.626,63.446,-0.67,2000.0,32.29,116.2,2.55,10.88,13.43,0.022283
51,80.99,1.551,-4.359,63.437,-683.074,63.437,-0.59,2000.0,32.33,116.4,2.56,10.88,13.44,0.022718
52,82.55,1.553,-4.351,63.429,-681.522,63.429,-0.50,2000.0,32.38,116.6,2.56,10.88,13.44,0.023156
53,84.10,1.556,-4.342,63.420,-679.966,63.420,-0.56,2000.0,32.44,116.8,2.56,10.88,13.44,0.023590
54,85.66,1.558,-4.333,63.408,-678.408,63.408,-0.81,2000.0,32.45,116.8,2.56,10.88,13.44,0.024028
55,87.22,1.559,-4.324,63.396,-676.850,63.396,-0.75,2000.0,32.49,117.0,2.56,10.88,13.44,0.024466
56,88.78,1.560,-4.315,63.386,-675.290,63.386,-0.65,2000.0,32.52,117.1,2.56,10.88,13.44,0.024903
57,90.34,1.562,-4.305,63.375,-673.727,63.375,-0.68,2000.0,32.57,117.2,2.56,10.88,13.44,0.025341
58,91.91,1.564,-4.296,63.366,-672.163,63.366,-0.61,2000.0,32.61,117.4,2.56,10.88,13.44,0.025781
59,93.47,1.567,-4.287,63.355,-670.597,63.355,-0.66,2000.0,32.65,117.5,2.57,10.88,13.44,0.026219
60,95.04,1.568,-4.279,63.344,-669.029,63.344,-0.72,2000.0,32.68,117.6,2.57,10.88,13.44,0.026659
61,96.61,1.570,-4.271,63.334,-667.459,63.334,-0.61,2000.0,32.73,117.8,2.57,10.88,13.45,0.027100
62,98.18,1.572,-4.263,63.325,-665.887,63.325,-0.63,2000.0,32.76,117.9,2.57,10.87,13.45,0.027540
63,99.75,1.574,-4.256,63.314,-664.313,63.314,-0.68,2000.0,32.81,118.1,2.58,10.87,13.45,0.027980
64,101.33,1.576,-4.250,63.303,-662.738,63.303,-0.68,2000.0,32.84,118.2,2.58,10.87,13.45,0.028424
65,102.91,1.578,-4.244,63.292,-661.160,63.292,-0.72,2000.0,32.89,118.4,2.59,10.86,13.45,0.028867
66,104.49,1.579,-4.239,63.280,-659.581,63.280,-0.75,2000.0,32.91,118.5,2.59,10.86,13.45,0.029310
67,106.07,1.581,-4.235,63.267,-658.000,63.267,-0.78,2000.0,32.96,118.7,2.60,10.85,13.45,0.029753
68,107.65,1.583,-4.231,63.254,-656.417,63.254,-0.85,2000.0,32.99,118.8,2.61,10.85,13.45,0.030196
69,109.24,1.585,-4.228,63.240,-654.833,63.240,-0.91,2000.0,33.03,118.9,2.62,10.84,13.45,0.030642
70,110.82,1.585,-4.226,63.226,-653.247,63.226,-0.85,2000.0,33.05,119.0,2.63,10.83,13.46,0.031086
71,112.41,1.588,-4.224,63.214,-651.659,63.214,-0.76,2000.0,33.09,119.1,2.64,10.82,13.46,0.031532
72,114.00,1.589,-4.223,63.202,-650.070,63.202,-0.73,2000.0,33.12,119.2,2.65,10.81,13.46,0.031978
73,115.59,1.591,-4.222,63.191,-648.479,63.191,-0.74,2000.0,33.17,119.4,2.66,10.80,13.46,0.032424
74,117.18,1.593,-4.221,63.177,-646.886,63.177,-0.87,2000.0,33.20,119.5,2.67,10.79,13.46,0.032870
75,118.78,1.594,-4.220,63.164,-645.292,63.164,-0.82,2000.0,33.23,119.6,2.68,10.79,13.46,0.033318
76,120.37,1.596,-4.219,63.150,-643.696,63.150,-0.84,2000.0,33.26,119.7,2.69,10.78,13.46,0.033764
77,121.97,1.597,-4.218,63.138,-642.099,63.138,-0.76,2000.0,33.28,119.8,2.70,10.77,13.46,0.034213
78,123.57,1.599,-4.217,63.130,-640.501,63.130,-0.54,2000.0,33.33,120.0,2.71,10.76,13.47,0.034662
79,125.07,1.501,-4.216,63.121,-639.000,63.121,-0.58,2000.0,33.35,120.1,2.72,10.75,13.47,0.035083
80,126.57,1.502,-4.216,63.113,-637.499,63.113,-0.55,2000.0,33.40,120.2,2.73,10.74,13.47,0.035504
81,128.07,1.503,-4.215,63.103,-635.995,63.103,-0.62,2000.0,33.42,120.3,2.74,10.73,13.47,0.035924
82,129.58,1.505,-4.214,63.095,-634.491,63.095,-0.55,2000.0,33.45,120.4,2.75,10.72,13.47,0.036348
83,131.08,1.506,-4.212,63.086,-632.985,63.086,-0.58,2000.0,33.48,120.5,2.76,10.71,13.47,0.036769
84,132.59,1.507,-4.211,63.079,-631.478,63.079,-0.53,2000.0,33.51,120.6,2.78,10.70,13.48,0.037192
85,134.10,1.509,-4.208,63.072,-629.969,63.072,-0.46,2000.0,33.55,120.8,2.78,10.69,13.48,0.037616
86,135.61,1.510,-4.205,63.063,-628.459,63.063,-0.56,2000.0,33.57,120.8,2.79,10.69,13.48,0.038039
87,137.12,1.511,-4.201,63.054,-626.948,63.054,-0.59,2000.0,33.59,120.9,2.80,10.68,13.48,0.038463
88,138.63,1.513,-4.197,63.047,-625.435,63.047,-0.48,2000.0,33.64,121.1,2.81,10.67,13.48,0.038886
89,140.15,1.514,-4.191,63.038,-623.921,63.038,-0.60,2000.0,33.66,121.2,2.82,10.67,13.48,0.039313
90,141.66,1.516,-4.185,63.029,-622.405,63.029,-0.60,2000.0,33.70,121.3,2.82,10.66,13.49,0.039736
91,143.18,1.518,-4.178,63.020,-620.887,63.020,-0.59,2000.0,33.74,121.5,2.83,10.66,13.49,0.040163
92,144.70,1.519,-4.170,63.010,-619.368,63.010,-0.67,2000.0,33.77,121.6,2.83,10.66,13.49,0.040589
93,146.22,1.520,-4.162,62.999,-617.848,62.999,-0.68,2000.0,33.81,121.7,2.84,10.66,13.49,0.041015
94,147.74,1.522,-4.153,62.988,-616.326,62.988,-0.71,2000.0,33.83,121.8,2.84,10.65,13.49,0.041442
95,149.27,1.524,-4.143,62.978,-614.802,62.978,-0.67,2000.0,33.88,122.0,2.84,10.65,13.49,0.041871
96,150.79,1.525,-4.132,62.967,-613.277,62.967,-0.76,2000.0,33.91,122.1,2.84,10.65,13.50,0.042297
97,152.32,1.526,-4.121,62.955,-611.751,62.955,-0.74,2000.0,33.93,122.2,2.84,10.65,13.50,0.042727
98,153.85,1.528,-4.109,62.945,-610.223,62.945,-0.67,2000.0,33.98,122.3,2.85,10.65,13.50,0.043156
99,155.38,1.530,-4.096,62.934,-608.693,62.934,-0.75,2000.0,34.01,122.4,2.84,10.66,13.50,0.043585
100,156.91,1.531,-4.083,62.922,-607.163,62.922,-0.75,2000.0,34.03,122.5,2.84,10.66,13.50,0.044014
101,158.44,1.533,-4.068,62.911,-605.630,62.911,-0.77,2000.0,34.08,122.7,2.84,10.66,13.50,0.044443
102,159.97,1.534,-4.053,62.898,-604.096,62.898,-0.80,2000.0,34.10,122.8,2.84,10.67,13.51,0.044872
103,161.51,1.536,-4.038,62.886,-602.561,62.886,-0.79,2000.0,34.14,122.9,2.84,10.67,13.51,0.045304
104,163.05,1.537,-4.022,62.874,-601.024,62.874,-0.80,2000.0,34.16,123.0,2.83,10.68,13.51,0.045736
105,164.58,1.538,-4.005,62.863,-599.486,62.863,-0.69,2000.0,34.21,123.2,2.83,10.68,13.51,0.046165
106,166.12,1.540,-3.988,62.851,-597.946,62.851,-0.78,2000.0,34.23,123.2,2.82,10.69,13.51,0.046597
107,167.67,1.541,-3.972,62.840,-596.405,62.840,-0.72,2000.0,34.27,123.4,2.82,10.70,13.52,0.047032
108,169.21,1.543,-3.956,62.829,-594.862,62.829,-0.68,2000.0,34.29,123.5,2.82,10.70,13.52,0.047464
109,170.75,1.544,-3.941,62.819,-593.318,62.819,-0.68,2000.0,34.34,123.6,2.81,10.71,13.52,0.047896
110,172.30,1.546,-3.927,62.807,-591.773,62.807,-0.76,2000.0,34.36,123.7,2.81,10.71,13.52,0.048331
111,173.85,1.547,-3.914,62.795,-590.225,62.795,-0.78,2000.0,34.40,123.9,2.81,10.71,13.52,0.048766
112,175.39,1.548,-3.901,62.782,-588.677,62.782,-0.85,2000.0,34.42,123.9,2.81,10.72,13.53,0.049198
113,176.94,1.550,-3.889,62.769,-587.127,62.769,-0.82,2000.0,34.46,124.1,2.81,10.72,13.53,0.049633
114,178.50,1.551,-3.877,62.757,-585.576,62.757,-0.82,2000.0,34.48,124.1,2.81,10.72,13.53,0.050070
115,180.05,1.553,-3.865,62.745,-584.023,62.745,-0.77,2000.0,34.53,124.3,2.81,10.72,13.53,0.050505
116,181.60,1.554,-3.854,62.732,-582.469,62.732,-0.83,2000.0,34.55,124.4,2.81,10.73,13.54,0.050940
117,183.16,1.553,-3.843,62.719,-580.916,62.719,-0.82,2000.0,34.50,124.2,2.81,10.73,13.54,0.051377
118,184.71,1.551,-3.832,62.705,-579.365,62.705,-0.89,2000.0,34.45,124.0,2.81,10.73,13.54,0.051812
119,186.26,1.549,-3.822,62.691,-577.816,62.691,-0.91,2000.0,34.44,124.0,2.81,10.73,13.54,0.052247
120,187.81,1.553,-3.811,62.676,-576.263,62.676,-0.99,2000.0,34.52,124.3,2.81,10.73,13.54,0.052682
121,189.36,1.554,-3.800,62.662,-574.709,62.662,-0.88,2000.0,34.54,124.3,2.81,10.73,13.54,0.053116
122,190.92,1.555,-3.790,62.649,-573.154,62.649,-0.85,2000.0,34.57,124.4,2.81,10.73,13.55,0.053554
123,192.47,1.556,-3.779,62.634,-571.598,62.634,-0.93,2000.0,34.59,124.5,2.82,10.73,13.55,0.053989
124,194.03,1.557,-3.768,62.619,-570.041,62.619,-0.98,2000.0,34.62,124.6,2.82,10.73,13.55,0.054426
125,195.59,1.558,-3.758,62.603,-568.483,62.603,-1.05,2000.0,34.63,124.7,2.82,10.74,13.55,0.054864
126,197.15,1.559,-3.748,62.588,-566.923,62.588,-0.96,2000.0,34.67,124.8,2.82,10.74,13.55,0.055302
127,198.71,1.561,-3.738,62.574,-565.362,62.574,-0.87,2000.0,34.71,125.0,2.82,10.74,13.56,0.055739
128,200.27,1.563,-3.727,62.559,-563.800,62.559,-0.96,2000.0,34.74,125.1,2.82,10.74,13.56,0.056177
129,201.84,1.564,-3.716,62.543,-562.236,62.543,-1.04,2000.0,34.78,125.2,2.82,10.74,13.56,0.056617
130,203.40,1.566,-3.706,62.526,-560.670,62.526,-1.11,2000.0,34.82,125.3,2.82,10.74,13.56,0.057055
131,204.97,1.567,-3.694,62.506,-559.103,62.506,-1.23,2000.0,34.84,125.4,2.82,10.74,13.56,0.057495
132,206.54,1.569,-3.683,62.487,-557.534,62.487,-1.27,2000.0,34.87,125.5,2.82,10.74,13.57,0.057935
133,208.11,1.570,-3.672,62.468,-555.965,62.468,-1.17,2000.0,34.89,125.6,2.82,10.74,13.57,0.058376
134,209.68,1.571,-3.660,62.451,-554.393,62.451,-1.07,2000.0,34.94,125.8,2.82,10.75,13.57,0.058816
135,211.25,1.573,-3.648,62.434,-552.821,62.434,-1.08,2000.0,34.96,125.9,2.82,10.75,13.57,0.059257
136,212.83,1.574,-3.636,62.417,-551.247,62.417,-1.07,2000.0,35.00,126.0,2.82,10.75,13.57,0.059700
137,214.40,1.576,-3.625,62.399,-549.671,62.399,-1.16,2000.0,35.01,126.1,2.82,10.75,13.58,0.060140
138,215.98,1.576,-3.613,62.382,-548.095,62.382,-1.10,2000.0,35.05,126.2,2.83,10.75,13.58,0.060583
139,217.56,1.578,-3.601,62.364,-546.517,62.364,-1.11,2000.0,35.07,126.3,2.82,10.75,13.58,0.061027
140,219.14,1.579,-3.590,62.347,-544.938,62.347,-1.10,2000.0,35.09,126.3,2.83,10.75,13.58,0.061470
141,220.72,1.580,-3.578,62.331,-543.359,62.331,-1.03,2000.0,35.12,126.4,2.83,10.75,13.58,0.061913
142,222.30,1.581,-3.567,62.315,-541.778,62.315,-1.02,2000.0,35.14,126.5,2.83,10.76,13.58,0.062356
143,223.88,1.582,-3.555,62.299,-540.196,62.299,-0.95,2000.0,35.18,126.6,2.83,10.76,13.59,0.062799
144,225.46,1.584,-3.542,62.282,-538.612,62.282,-1.08,2000.0,35.21,126.8,2.83,10.76,13.59,0.063243
145,227.05,1.584,-3.529,62.264,-537.028,62.264,-1.15,2000.0,35.22,126.8,2.83,10.76,13.59,0.063689
146,228.63,1.585,-3.514,62.247,-535.443,62.247,-1.09,2000.0,35.24,126.9,2.83,10.76,13.59,0.064132
147,230.22,1.587,-3.499,62.230,-533.856,62.230,-1.06,2000.0,35.27,127.0,2.83,10.77,13.59,0.064578
148,231.81,1.588,-3.482,62.214,-532.269,62.214,-1.00,2000.0,35.30,127.1,2.82,10.77,13.60,0.065024
149,233.40,1.589,-3.464,62.197,-530.680,62.197,-1.11,1923.4,35.32,127.1,2.82,10.78,13.60,0.065470
150,234.99,1.590,-3.445,62.179,-529.090,62.179,-1.09,1877.6,35.33,127.2,2.81,10.79,13.60,0.065916
151,236.58,1.591,-3.424,62.163,-527.499,62.163,-1.01,2000.0,35.36,127.3,2.81,10.80,13.60,0.066362
152,238.17,1.592,-3.403,62.148,-525.908,62.148,-0.97,2000.0,35.39,127.4,2.80,10.81,13.60,0.066808
153,239.76,1.593,-3.380,62.132,-524.315,62.132,-0.98,2000.0,35.42,127.5,2.79,10.82,13.61,0.067254
154,241.36,1.595,-3.357,62.116,-522.721,62.116,-1.05,2000.0,35.44,127.6,2.78,10.83,13.61,0.067703
155,242.95,1.595,-3.333,62.098,-521.126,62.098,-1.11,2000.0,35.46,127.6,2.77,10.84,13.61,0.068149
156,244.55,1.596,-3.309,62.081,-519.530,62.081,-1.03,2000.0,35.48,127.7,2.76,10.85,13.61,0.068597
157,246.14,1.597,-3.284,62.066,-517.933,62.066,-0.99,2000.0,35.50,127.8,2.75,10.87,13.62,0.069043
158,247.74,1.598,-3.260,62.050,-516.335,62.050,-0.98,2000.0,35.53,127.9,2.74,10.88,13.62,0.069492
159,249.34,1.600,-3.235,62.033,-514.736,62.033,-1.09,2000.0,35.56,128.0,2.73,10.89,13.62,0.069941
160,250.94,1.601,-3.211,62.014,-513.135,62.014,-1.19,2000.0,35.56,128.0,2.72,10.90,13.62,0.070390
161,252.54,1.601,-3.187,61.997,-511.535,61.997,-1.02,2000.0,35.60,128.2,2.71,10.92,13.62,0.070839
162,254.15,1.603,-3.162,61.980,-509.932,61.980,-1.09,2000.0,35.62,128.2,2.70,10.93,13.63,0.071290
163,255.75,1.603,-3.138,61.963,-508.329,61.963,-1.04,2000.0,35.64,128.3,2.69,10.94,13.63,0.071739
164,257.35,1.605,-3.114,61.946,-506.725,61.946,-1.09,2000.0,35.66,128.4,2.68,10.95,13.63,0.072188
165,258.96,1.605,-3.089,61.928,-505.120,61.928,-1.11,2000.0,35.67,128.4,2.66,10.97,13.63,0.072640
166,260.57,1.606,-3.065,61.912,-503.514,61.912,-0.99,2000.0,35.72,128.6,2.65,10.98,13.63,0.073091
167,262.07,1.501,-3.042,61.895,-502.014,61.895,-1.12,2000.0,35.73,128.6,2.64,10.99,13.64,0.073512
168,263.57,1.501,-3.019,61.878,-500.513,61.878,-1.12,2000.0,35.76,128.7,2.63,11.00,13.64,0.073933
169,265.07,1.502,-2.996,61.861,-499.011,61.861,-1.17,2000.0,35.77,128.8,2.63,11.01,13.64,0.074353
170,266.57,1.503,-2.974,61.843,-497.509,61.843,-1.13,2000.0,35.79,128.8,2.62,11.02,13.64,0.074774
171,268.08,1.504,-2.953,61.827,-496.005,61.827,-1.09,2000.0,35.82,128.9,2.61,11.04,13.64,0.075198
172,269.58,1.504,-2.932,61.811,-494.501,61.811,-1.08,2000.0,35.83,129.0,2.60,11.05,13.64,0.075619
173,271.09,1.505,-2.912,61.795,-492.996,61.795,-1.03,2000.0,35.86,129.1,2.59,11.05,13.64,0.076042
174,272.59,1.507,-2.893,61.779,-491.489,61.779,-1.06,2000.0,35.89,129.2,2.58,11.06,13.65,0.076463
175,274.10,1.508,-2.874,61.763,-489.981,61.763,-1.12,2000.0,35.92,129.3,2.58,11.07,13.65,0.076886
176,275.61,1.509,-2.857,61.744,-488.473,61.744,-1.22,1787.9,35.93,129.3,2.57,11.08,13.65,0.077310
177,277.12,1.509,-2.840,61.725,-486.964,61.725,-1.24,2000.0,35.95,129.4,2.57,11.08,13.65,0.077734
178,278.63,1.510,-2.825,61.707,-485.454,61.707,-1.19,2000.0,35.96,129.5,2.56,11.09,13.65,0.078157
179,280.14,1.511,-2.810,61.691,-483.942,61.691,-1.11,2000.0,36.00,129.6,2.56,11.09,13.66,0.078581
180,281.65,1.513,-2.796,61.670,-482.430,61.670,-1.34,2000.0,36.01,129.6,2.56,11.10,13.66,0.079004
181,283.17,1.513,-2.782,61.649,-480.918,61.649,-1.38,2000.0,36.02,129.7,2.56,11.10,13.66,0.079431
182,284.68,1.514,-2.770,61.629,-479.404,61.629,-1.33,2000.0,36.04,129.7,2.55,11.10,13.66,0.079854
183,286.19,1.514,-2.758,61.610,-477.891,61.610,-1.26,2000.0,36.06,129.8,2.55,11.10,13.66,0.080278
184,287.71,1.515,-2.747,61.591,-476.376,61.591,-1.24,2000.0,36.08,129.9,2.56,11.11,13.66,0.080704
185,289.22,1.516,-2.737,61.573,-474.860,61.573,-1.25,2000.0,36.11,130.0,2.56,11.11,13.66,0.081128
186,290.74,1.517,-2.728,61.552,-473.343,61.552,-1.33,1868.8,36.11,130.0,2.56,11.10,13.66,0.081554
187,292.26,1.517,-2.720,61.532,-471.826,61.532,-1.36,1767.2,36.13,130.1,2.56,11.10,13.66,0.081980
188,293.78,1.518,-2.714,61.511,-470.309,61.511,-1.34,1766.0,36.14,130.1,2.57,11.10,13.67,0.082407
189,295.29,1.518,-2.708,61.492,-468.791,61.492,-1.26,1619.5,36.16,130.2,2.57,11.09,13.67,0.082830
190,296.81,1.519,-2.705,61.473,-467.272,61.473,-1.27,1517.0,36.16,130.2,2.58,11.09,13.67,0.083257
191,298.33,1.519,-2.702,61.454,-465.753,61.454,-1.22,1538.6,36.19,130.3,2.59,11.08,13.67,0.083683
192,299.85,1.520,-2.701,61.434,-464.232,61.434,-1.31,1664.1,36.20,130.3,2.60,11.07,13.67,0.084109
193,301.37,1.520,-2.702,61.414,-462.712,61.414,-1.32,1484.0,36.21,130.3,2.61,11.06,13.67,0.084536
194,302.89,1.520,-2.704,61.394,-461.192,61.394,-1.36,1369.2,36.20,130.3,2.62,11.05,13.67,0.084962
195,304.41,1.521,-2.708,61.373,-459.671,61.373,-1.36,1476.0,36.21,130.4,2.64,11.03,13.67,0.085388
196,305.94,1.521,-2.713,61.351,-458.150,61.351,-1.42,1413.6,36.21,130.4,2.66,11.02,13.68,0.085818
197,307.46,1.521,-2.721,61.329,-456.630,61.329,-1.47,1486.4,36.21,130.4,2.67,11.00,13.67,0.086244
198,308.98,1.521,-2.729,61.305,-455.109,61.305,-1.58,1415.4,36.20,130.3,2.69,10.98,13.68,0.086670
199,310.50,1.520,-2.739,61.282,-453.589,61.282,-1.50,1566.8,36.19,130.3,2.71,10.96,13.68,0.087097
200,312.02,1.520,-2.751,61.260,-452.070,61.260,-1.45,1732.5,36.18,130.3,2.74,10.94,13.68,0.087523
201,313.54,1.519,-2.764,61.238,-450.551,61.238,-1.49,1833.0,36.16,130.2,2.76,10.92,13.68,0.087950
202,315.05,1.518,-2.778,61.216,-449.033,61.216,-1.44,2000.0,36.15,130.1,2.78,10.90,13.68,0.088373
203,316.57,1.518,-2.794,61.193,-447.516,61.193,-1.53,2000.0,36.11,130.0,2.81,10.87,13.68,0.088799
204,318.09,1.516,-2.810,61.170,-446.000,61.170,-1.52,2000.0,36.07,129.9,2.84,10.85,13.68,0.089226
205,319.60,1.514,-2.826,61.147,-444.487,61.147,-1.52,2000.0,36.01,129.7,2.86,10.82,13.68,0.089649
206,321.11,1.511,-2.843,61.125,-442.976,61.125,-1.46,2000.0,35.95,129.4,2.89,10.79,13.68,0.090073
207,322.62,1.508,-2.861,61.101,-441.468,61.101,-1.54,2000.0,35.87,129.1,2.92,10.77,13.68,0.090496
208,324.12,1.504,-2.878,61.078,-439.964,61.078,-1.57,2000.0,35.78,128.8,2.95,10.74,13.68,0.090917
209,325.63,1.501,-2.896,61.055,-438.463,61.055,-1.54,2000.0,35.69,128.5,2.97,10.71,13.68,0.091341
210,327.23,1.603,-2.916,61.031,-436.860,61.031,-1.44,2000.0,35.59,128.1,3.01,10.68,13.69,0.091790
211,328.83,1.600,-2.936,61.010,-435.260,61.010,-1.32,2000.0,35.53,127.9,3.04,10.65,13.69,0.092238
212,330.43,1.597,-2.956,60.988,-433.664,60.988,-1.38,2000.0,35.44,127.6,3.07,10.62,13.69,0.092687
213,332.02,1.593,-2.976,60.965,-432.071,60.965,-1.44,2000.0,35.36,127.3,3.10,10.59,13.69,0.093133
214,333.61,1.588,-2.997,60.942,-430.483,60.942,-1.47,2000.0,35.25,126.9,3.13,10.56,13.69,0.093579
215,335.19,1.585,-3.017,60.920,-428.899,60.920,-1.40,2000.0,35.18,126.7,3.17,10.52,13.69,0.094022
216,336.77,1.581,-3.038,60.897,-427.318,60.897,-1.46,2000.0,35.09,126.3,3.20,10.49,13.69,0.094466
217,338.35,1.577,-3.059,60.873,-425.741,60.873,-1.46,2000.0,35.01,126.0,3.23,10.46,13.69,0.094909
218,339.92,1.573,-3.081,60.851,-424.169,60.851,-1.44,2000.0,34.90,125.6,3.27,10.43,13.69,0.095349
